부착대관리번호,신호등종류,X좌표,Y좌표
03-0000044363,2.0,209325.66157,546447.61636
03-0000046462,2.0,201264.46802,560100.21097
03-0000019939,2.0,209719.875,540624.25
03-0000019952,2.0,188486.09916,545736.06435
03-0000019979,2.0,188705.43837,545591.03912
03-0000047392,2.0,193356.789,549529.29034
03-0000042881,2.0,203791.89063,562916.34375
03-0000051994,2.0,203859.46875,563345.96875
03-0000051995,2.0,203855.22448,563346.30096
03-0000047215,2.0,191252.00521,539241.15625
03-0000060175,2.0,198936.15625,544156.6875
03-0000055761,2.0,202523.5625,556386.375
03-0000061259,2.0,204180.33518,556452.27201
03-0000015586,2.0,211836.57813,550591.84375
03-0000015604,2.0,211954.56948,550802.80086
03-0000020782,2.0,185995.06285,548955.40889
03-0000050333,2.0,192257.52132,539418.21026
03-0000010947,2.0,193010.92188,539318.1875
03-0000010368,2.0,193002.22642,538979.39504
03-0000048063,2.0,192830.59674,540486.34858
03-0000060308,2.0,201382.78013,557677.62974
03-0000060310,2.0,201377.46312,557688.22896
03-0000005623,2.0,201373.25872,557684.79252
03-0000062035,2.0,200079.292,554030.07624
03-0000062037,2.0,200132.6875,554037.90625
03-0000062042,2.0,200075.45313,553976.3125
03-0000034376,2.0,197051.12485,545273.17922
03-0000043182,2.0,184207.31634,550733.63855
03-0000045312,2.0,183797.93939,550799.71945
03-0000050098,2.0,183039.71875,551355.09375
03-0000011291,2.0,182986.16945,551355.9892
03-0000048056,2.0,192893.39251,540651.14408
03-0000060177,4.0,192887.25065,540628.98491
03-0000061534,2.0,197611.0728,551142.35881
03-0000025600,2.0,204169.30511,557620.7852
03-0000042826,2.0,203368.15987,557068.27562
03-0000024678,2.0,203376.08124,557060.96653
03-0000047843,2.0,203187.83233,556539.46799
03-0000061265,2.0,200557.33681,557167.87181
03-0000065237,2.0,192821.19787,552182.05897
03-0000016279,2.0,198729.46369,546480.88275
03-0000016423,2.0,200893.38946,548343.8347
03-0000062045,2.0,200135.77602,554033.16515
03-0000062046,2.0,200132.97026,554023.04653
03-0000022007,2.0,200103.8125,553978.15625
03-0000023235,2.0,202277.72645,555956.80094
03-0000062047,2.0,202282.20016,555953.96272
03-0000062048,2.0,202296.53409,555952.70777
03-0000062050,2.0,203797.96322,557614.94735
03-0000062050,2.0,203796.36863,557615.66399
03-0000062052,2.0,204227.53108,558164.77294
03-0000011446,2.0,194360.04902,554299.31864
03-0000021477,2.0,200200.84027,553467.24854
03-0000021477,2.0,200191.52064,553422.05624
03-0000002444,2.0,200134.50425,554841.19894
