부착대관리번호,신호등종류,위도,경도
03-0000042975,2.0,37.57630299768831,126.81138989437255
03-0000032204,2.0,37.576330006185835,126.81155602153433
03-0000004811,2.0,37.537989614184156,127.08965801926155
03-0000004832,2.0,37.545756798238,127.1703170694366
03-0000022106,2.0,37.57829037391333,127.03524820951688
03-0000021740,2.0,37.57936479751077,127.04218716978748
03-0000022864,2.0,37.57945450679395,127.04244423648736
03-0000036244,2.0,37.57940442528405,127.0428086212779
03-0000017829,2.0,37.54411908345346,127.06494883303687
03-0000015152,2.0,37.55120201373639,127.0079988941236
03-0000019397,2.0,37.533206029514844,126.96329116180755
03-0000041691,2.0,37.52250390239282,126.84411328312336
03-0000048191,2.0,37.498298204518875,126.89287714437515
03-0000035713,2.0,37.546273681535396,126.84533139451803
03-0000034040,2.0,37.543657198743624,126.8434615798817
03-0000002460,2.0,37.54377081660584,126.84321190314313
03-0000010221,2.0,37.543556612006675,126.84304456396427
03-0000038282,2.0,37.54050336721327,126.8364190538557
03-0000018415,2.0,37.54055028420123,126.83595743888267
03-0000035602,2.0,37.54036601763848,126.83616835569536
03-0000036052,2.0,37.54141038813359,126.84043028465908
03-0000017852,2.0,37.531987317847765,126.9005967195525
03-0000020180,2.0,37.525799154076864,126.87783244443264
03-0000020476,2.0,37.57628211432949,126.8113258694355
03-0000007886,2.0,37.60522528333515,126.92218655631778
03-0000019793,2.0,37.56146761938773,126.86028438368211
03-0000019802,2.0,37.560714222925164,126.86163788892235
03-0000046942,2.0,37.615143064875205,127.07868794566127
03-0000019890,2.0,37.56346815853709,127.0312802189059
03-0000019908,2.0,37.56493098415683,126.81164783086523
03-0000019949,2.0,37.48345133783549,127.02801331803401
03-0000020151,2.0,37.526156118986506,126.89679287231772
03-0000018038,2.0,37.55380680536169,127.0337581713246
03-0000018067,2.0,37.52447523184858,126.86493439706098
03-0000045995,2.0,37.56961555634679,127.01252427506925
03-0000025103,2.0,37.654540741189166,127.06202487667038
03-0000042334,2.0,37.554265841841186,126.86748326312126
03-0000024276,2.0,37.60358617081066,127.10749912249653
03-0000024322,2.0,37.60420959935765,127.09011309003718
03-0000043415,2.0,37.56528060396534,127.0548941320453
