acdnt_year,occrrnc_time_code,legaldong_name,acdnt_hdc,lrg_violt_1_dc,road_stle_dc,wrngdo_vhcle_asort_dc,acdnt_age_1_code,rdse_sttus_dc,road_div,lat,lng,near_crosswalk,near_traffic_light,near_child_zone,near_elderly_zone,near_disabled_zone,lanes,lengths,velocity,traffic_volume,elderly_hotspot,non_elderly_hotspot,all_hotspot
2021,14,서울특별시 강남구 논현동,차대차,신호위반,교차로 - 교차로안,승용,71, 건조,104.0,37.51613764523142,127.01974236797264,0,1,0,0,1,10.0,3279.0,20.5,64676,1.0,,1
2021,5,서울특별시 강남구 삼성동,차대차,신호위반,교차로 - 교차로안,승용,72, 건조,104.0,37.5088799303144,127.06340716631222,0,0,0,0,0,10.0,4059.0,20.1,65162,1.0,,1
2021,9,서울특별시 강남구 삼성동,차대사람,중앙선침범,단일로 - 기타,승용,67, 젖음/습기,104.0,37.51705589274587,127.04215340587488,0,0,0,1,0,,,,65162,1.0,,1
2021,11,서울특별시 강남구 역삼동,차대차,안전거리미확보,기타 - 기타,승용,74, 젖음/습기,104.0,37.49996415660069,127.03472307121248,0,0,0,0,0,10.0,4059.0,20.1,53898,1.0,,1
2021,11,서울특별시 강남구 역삼동,차대차,안전운전불이행,단일로 - 기타,승용,68, 건조,104.0,37.49694528724977,127.02807848739278,0,0,1,0,0,9.0,7816.0,21.6,53898,1.0,,1
2021,7,서울특별시 강남구 청담동,차대사람,안전운전불이행,단일로 - 기타,기타불명,999, 건조,104.0,37.5184938692388,127.0480856176786,0,0,1,0,0,5.0,3604.0,25.1,65162,0.0,,1
2021,19,서울특별시 강남구 수서동,차대차,안전운전불이행,교차로 - 교차로안,승용,66, 건조,104.0,37.48573853860304,127.09798464990052,0,0,1,0,0,,,,97512,0.0,,1
2021,20,서울특별시 강남구 논현동,차대차,교차로운행방법위반,교차로 - 교차로안,승용,73, 건조,104.0,37.50640425970039,127.0245114996334,0,0,0,0,0,,,,64676,1.0,,1
2021,11,서울특별시 강남구 역삼동,차대사람,안전운전불이행,단일로 - 기타,승용,76, 건조,,37.500754724913946,127.04096322051689,0,0,0,0,0,,,,58894,1.0,,1
2021,13,서울특별시 강남구 역삼동,차대차,중앙선침범,단일로 - 기타,승용,65, 건조,104.0,37.497687613035545,127.0426450132048,0,0,0,0,0,4.0,3728.0,17.4,58894,0.0,,1
2021,8,서울특별시 강남구 역삼동,차대사람,보행자보호의무위반,교차로 - 교차로횡단보도내,승용,77, 건조,104.0,37.49357809473999,127.04049808844918,1,0,0,0,0,,,,58894,1.0,,1
2021,11,서울특별시 강남구 역삼동,차대차,안전운전불이행,단일로 - 기타,승용,73, 건조,104.0,37.49332802146692,127.03190220862844,0,0,1,0,0,,,,53898,1.0,,1
2021,21,서울특별시 강남구 논현동,차대차,중앙선침범,단일로 - 기타,승용,72, 건조,104.0,37.51021047098981,127.0434172349127,0,0,0,1,0,6.0,4213.0,18.7,65162,1.0,,1
2021,9,서울특별시 강남구 대치동,차대차,안전거리미확보,단일로 - 기타,승용,70, 건조,104.0,37.4926477173307,127.05889756699422,0,0,0,0,0,8.0,32092.0,28.3,58894,1.0,,1
2021,11,서울특별시 강남구 논현동,차대차,안전운전불이행,단일로 - 기타,승용,65, 건조,104.0,37.515818442039794,127.03001913595828,1,0,0,1,0,6.0,8312.0,22.6,64676,0.0,,1
2021,12,서울특별시 강남구 신사동,차대차,신호위반,단일로 - 기타,승용,67, 건조,104.0,37.523981370620945,127.02244212365343,1,1,1,1,0,,,,181307,1.0,,1
2021,19,서울특별시 강남구 역삼동,차대차,신호위반,단일로 - 기타,기타불명,999, 건조,104.0,37.50214039742691,127.04266310834116,0,0,0,0,0,6.0,12051.0,22.8,65162,1.0,,1
2021,9,서울특별시 강남구 신사동,차대차,안전거리미확보,단일로 - 기타,승용,65, 건조,104.0,37.52469968159734,127.02398798948632,0,0,1,0,0,7.0,2894.0,25.7,181307,0.0,,1
2021,11,서울특별시 강남구 수서동,차대차,안전운전불이행,단일로 - 기타,승용,74, 건조,102.0,37.492138187811456,127.09533722709182,0,0,0,0,0,6.0,19957.0,50.9,97512,1.0,,1
2021,16,서울특별시 강남구 청담동,차대차,신호위반,단일로 - 기타,승용,69, 기타,103.0,37.5199697895253,127.05699404897224,0,0,1,0,0,,,,124471,1.0,,1
2021,11,서울특별시 강남구 신사동,차대차,안전운전불이행,교차로 - 교차로안,승용,66, 건조,104.0,37.51983117066205,127.02818334736024,0,0,0,0,0,6.0,8312.0,22.6,64676,1.0,,1
2021,12,서울특별시 강남구 청담동,차대차,안전운전불이행,단일로 - 기타,승용,67, 건조,103.0,37.52326183204962,127.05515256142336,1,0,0,0,0,,,,120822,1.0,,1
2021,16,서울특별시 강남구 삼성동,차대차,안전운전불이행,교차로 - 교차로안,승용,76, 건조,104.0,37.50732826051077,127.05820021584964,0,0,0,0,0,10.0,4059.0,20.1,65162,1.0,,1
2021,20,서울특별시 강남구 삼성동,차대차,기타,단일로 - 기타,승용,65, 건조,104.0,37.50865235176553,127.0555560859076,0,0,0,0,0,7.0,5058.0,21.6,65162,1.0,,1
2021,18,서울특별시 강남구 역삼동,차대차,안전운전불이행,기타 - 기타,승용,71, 건조,104.0,37.502250233564375,127.03615704277628,1,0,1,0,0,6.0,8312.0,18.0,53898,1.0,,1
2021,19,서울특별시 강남구 역삼동,차대사람,안전운전불이행,교차로 - 교차로부근,승용,72, 건조,104.0,37.507962252010245,127.04010443789664,1,0,0,0,0,,,,65162,1.0,,0
2021,11,서울특별시 강남구 역삼동,차대차,신호위반,단일로 - 기타,기타불명,999, 건조,104.0,37.50145455207326,127.02644357575387,0,0,0,0,0,,,,53898,1.0,,1
